"sentence",translation
"We hear children.",Chúng tôi nghe trẻ em.
"The leaf is green.",Chiếc lá màu xanh.
"You see red dirt.",Bạn nhìn thấy đất đỏ.
"The small child jumps.",Đứa bé nhảy.
"My parents are here.",Bố mẹ của tôi ở đây.
"What is the year?",Năm đó là năm nào?
"I have a good family.",Tôi có một gia đình hạnh phúc.
"There are two fruits.",Có hai trái cây.
"This leaf is small and green.",Chiếc lá này nhỏ và có màu xanh.
"My sibling is home again.",Anh chị em của tôi lại ở nhà rồi.
"The white rock moves.",Cục đá màu trắng di chuyển.
"Are you calm today?",Bạn có cảm thấy bình tĩnh hôm nay không?
"Find the purple fruit!",Hãy tìm quả màu tím!
"Who is your sibling?",Anh chị em của bạn là ai?
"I am behind the tree.",Tôi ở sau cái cây.
"The dirt is black.",Đất màu đen.
"Can you see us?",Bạn có thể nhìn thấy chúng tôi không?
"They cannot hear you.",Họ không nghe được bạn.
"Jump three times.",Nhảy ba lần.
"Find it again.",Tìm nó lần nữa.
"Her friend is climbing a tree.",Bạn của cô ấy đang trèo cây.
"The red fruit is close to you.",Quả màu đỏ ở gần bạn.
"How do I find the biggest tree?",Làm thế nào để tôi tìm được cây to nhất?
"It is time to dig for rocks.",Đã đến lúc đào để lấy đá.
"What color is the star tonight?",Ngôi sao đó có màu gì tối nay?
"I do not know the time.",Tôi không biết mấy giờ.
"Is your rock purple or white?",Cục đá của bạn màu tím hay màu trắng?
"Calling her parents is too hard.",Gọi cho bố mẹ của cô ấy quá khó.
"Did you see the yellow star?",Bạn có nhìn thấy ngôi sao màu vàng không?
"Count one, two, three.","Đếm một, hai, ba."
"She will call me tomorrow.",Cô ấy sẽ gọi cho tôi vào ngày mai.
"He was your first friend.",Anh ấy là người bạn đầu tiên của bạn.
"I want to see, too.",Tôi cũng muốn xem.
"I see a lot of dirt over there.",Tôi nhìn thấy rất nhiều đất ở đằng kia.
"This is not a very ripe piece of fruit.",Quả này không được chín lắm.
"Why will she be wild today, do you think?",Bạn nghĩ rằng vì sao cô ấy lại nổi loạn hôm nay?
"I am the middle child of my family.",Tôi là con giữa trong gia đình.
"She was very small last year.",Năm ngoái cô ấy rất nhỏ.
"Do not move my small fruit!",Đừng xê dịch trái cây nhỏ của tôi!
"Will I find them behind a tree?",Tôi sẽ tìm thấy chúng đằng sau một cái cây phải không?
"She said I should not climb there.",Cô ấy bảo rằng tôi không nên leo lên đó.
"I like that you always have a plan.",Tôi thích việc bạn luôn có kế hoạch.
"We are too far away to see the tree.",Chúng ta ở quá xa để có thể nhìn thấy cái cây.
"It would be good to see my home again.",Sẽ rất tuyệt vời khi được nhìn lại ngôi nhà của mình.
"Get off that tree or I will call your parents!",Xuống khỏi cái cây đó nếu không tôi sẽ gọi cha mẹ của cháu!
"He thought she could see him.",Anh ấy đã nghĩ rằng cô ấy có thể nhìn thấy anh ấy.
"It is hard to have so much energy.",Thật khó để có nhiều năng lượng như vậy.
"I planned to call you yesterday.",Tôi đã định gọi cho bạn ngày hôm qua.
"Don't dig over there because it's too far.",Đừng đào ở đó bởi vì nó quá xa.
"What time did he say he would call?",Anh ấy nói rằng anh ấy sẽ gọi vào lúc mấy giờ?
"Maybe they should go home now.",Có lẽ họ nên về nhà ngay bây giờ.
"They had not looked for a rock of that color.",Họ đã không tìm kiếm một cục đá có màu đó.
"He used to be our calmest friend.",Anh ấy đã từng là người bạn trầm tĩnh nhất của chúng tôi.
"They wanted us to find a purple leaf.",Họ đã muốn chúng tôi tìm kiếm một chiếc lá màu tím.
"When can you plan our next dig?",Bạn có thể lên kế hoạch cho lần đào tiếp theo của chúng ta khi nào?
"Please move it to a better time.",Hãy dịch nó sang một thời điểm tốt hơn.
"Is it too late to call your parents?",Có quá muộn để gọi cha mẹ của bạn không?
"I didn't plan on doing that ever again!",Tôi đã không định làm điều đó thêm một lần nào nữa!
"I wish you could see this like I do.",Tôi ước gì bạn có thể nhìn thấy cái này như tôi.
"Will you only look for your family?",Bạn sẽ chỉ tìm gia đình của bạn thôi ư?
"We have seen the star high in the sky.",Chúng tôi đã trông thấy ngôi sao cao trên bầu trời.
"We are aboard a boat.",Chúng tôi lên một con tàu.
"She talked about the sun.",Cô ấy đã nói về mặt trời.
"The sky is above the sea.",Bầu trời ở trên biển.
"They will be across the water.",Họ sẽ băng qua vùng nước.
"He wanted to rest after the long night.",Anh ấy đã muốn nghỉ sau một đêm dài.
"Are you with them or against them?",Bạn đồng ý hay phản đối họ?
"We walked along the trail for an hour.",Chúng tôi đã đi dọc con đường mòn trong một tiếng.
"There might be animals among us.",Có thể có những con vật trong số chúng ta.
"We must go around the forest.",Chúng ta phải đi vòng quanh khu rừng.
"He is as tall as a tree.",Anh ấy cao như cái cây.
"Are you at the home right now?",Bạn có đang ở nhà không?
"Let's eat before we talk.",Hãy ăn trước khi chúng ta nói chuyện.
"I think you should follow behind.",Tôi nghĩ bạn nên theo sau.
"The water below me is brown.",Nước bên dưới tôi có màu nâu.
"Swimming in the evening is beneath her.",Bơi lội vào buổi tối là ở bên dưới cô ấy.
"The fruit is beside the river.",Trái cây ở bên cạnh con sông.
"Nothing is between me and the sky.",Không có gì ở giữa tôi và bầu trời.
"Do you want to see beyond the forest?",Bạn có muốn nhìn vượt xa khu rừng không?
"She is not kind, but I still like her.",Cô ấy không tốt nhưng tôi vẫn thích cô ấy.
"Rest with me by the fire.",Nghỉ cùng tôi bên ngọn lửa.
"She loves her despite her appearance.",Cô ấy yêu cô ấy bất chấp vẻ bề ngoài.
"The tree has fallen down!",Cái cây đã đổ!
"Did she wake up at the night?",Cô ấy có tỉnh giấc vào đêm đó không?
"Everyone left except him.",Mọi người đã bỏ đi ngoại trừ anh ấy.
"The stars shine for them.",Các ngôi sao chiếu sáng cho họ.
"Is this gift from him or her?",Món quà này là từ anh ấy hay cô ấy?
"Have they swum in the river before?",Họ đã từng bơi trên con sông đó hay chưa?
"Please go inside in a couple minutes.",Hãy đi vào trong trong một vài phút.
"They will go into the forest without fear.",Họ sẽ đi vào rừng mà không sợ hãi.
"She is like a wild animal.",Cô ấy như một con thú hoang.
"Don't let her get near the river.",Đừng để cô ấy đến gần con sông.
"My friend is sitting next to her sibling.",Bạn tôi đang ngồi cạnh anh chị em của cô ấy.
"A lot of the fruit is gone.",Rất nhiều trái cây đã biến mất.
"How should he jump off the tree?",Anh ấy nhảy khỏi cái cây như thế nào?
"They were sitting on the dirt.",Họ đang ngồi trên đất.
"They have climbed onto the tree.",Họ đã trèo lên cây.
"There will be five animals out in the forest.",Trong rừng sẽ có năm con vật.
"Jump over the yellow dirt.",Nhảy qua đất màu vàng.
"Be careful walking past the animal.",Cẩn thận đi qua con vật.
"There would be two fruits per person.",Sẽ có hai quả cho mỗi người.
"Two plus two is four.",Hai thêm hai là bốn.
"Let's have a chat regarding the child.",Hãy nói chuyện về đứa trẻ.
"We walked 'round the tree.",Chúng tôi đã đi vòng quanh cái cây.
"All of us left save for my parent.",Tất cả chúng tôi đã rời đi trừ bố mẹ tôi.
"I won't come since I have no money.",Tôi sẽ không đến bởi vì tôi không có tiền.
"Is he older than her?",Anh ấy nhiều tuổi hơn cô ấy à?
"She wants us to go through the forest.",Cô ấy muốn chúng tôi băng qua khu rừng.
"We slept till the sunrise.",Chúng tôi đã ngủ tới bình minh.
"Are you going to the river?",Bạn đang đi tới con sông ư?
"Look toward the stars for guidance.",Nhìn về những vì sao để được chỉ lối.
"Why is he under the water?",Vì sao anh ấy ở dưới nước?
"Underneath his appearance is a kind heart.",Dưới vẻ bề ngoài của anh ấy là một trái tim nhân hậu.
"Unlike me, she is very fast.","Không như tôi, cô ấy rất nhanh nhẹn."
"Wait until I am ready.",Chờ đến khi tôi sẵn sàng.
"The fish swim up to the surface.",Con cá ngoi lên mặt nước.
"He sits upon a throne.",Anh ấy ngồi trên ngai vàng.
"Let's talk about swimming versus running.",Hãy nói về bơi lội so với chạy bộ.
"She told them via letter.",Cô ấy đã nói với họ qua thư.
"Why aren't you with me?",Vì sao bạn không ủng hộ tôi?
"Fear is not within their heart.",Sợ hãi không hiện diện trong tim họ.
"Don't go without us!",Đừng đi mà không có chúng tôi!
"Please have another piece of fruit.",Hãy ăn thêm một trái nữa.
"Do you have any water?",Bạn có nước không?
"Anyone can dance.",Bất kỳ ai đều nhảy được.
"We will do anything for her.",Chúng tôi sẽ làm mọi việc vì cô ấy.
"Let's travel anywhere but here.",Hãy đi đến nơi nào cũng được trừ nơi này.
"They want both fruit and water.",Họ muốn cả trái cây và nước.
"Are you certain of that?",Bạn có chắc chắn về việc đó không?
"He loves each animal equally.",Anh ấy yêu mỗi con vật như nhau.
"You can have either this or that.",Bạn có thể có cái này hoặc cái kia.
"They don't have enough leaves.",Họ không có đủ lá.
"Every child has a favorite color.",Mọi đứa trẻ đều có một màu sắc ưa thích.
"Is everyone okay with the plan?",Mọi người đồng ý với kế hoạch chứ?
"The sun shone on everything.",Mặt trời chiếu sáng mọi vật.
"Everywhere I go, I smile.","Nơi nào tôi đến, tôi cũng tươi cười."
"A few children like swimming.",Một số trẻ thích bơi lội.
"Where were you last night?",Tối qua anh đã ở đâu?
"It the least intelligent animal.",Nó là con vật kém thông minh nhất.
"Give me less fruit.",Hãy đưa tôi ít trái cây hơn.
"They are a little tired.",Họ hơi mệt một chút.
"Many people love the sea.",Nhiều người thích biển.
"She wanted more water.",Cô ấy đã muốn có thêm nước.
"Most forests have lots of trees.",Hầu hết rừng đều có nhiều cây.
"I don't have much, but it's enough.",Tôi không có nhiều nhưng đủ.
"That animal can neither run nor walk.",Con vật đó không thể chạy hay đi.
"Do you want to sit next to her?",Bạn có muốn ngồi cạnh cô ấy không?
"No, they can't eat rocks!","Không, chúng không thể ăn đá!"
"None of them are coming.",Không ai trong số họ đến.
"Nothing can stop me.",Không có gì ngăn cản tôi được.
"I have nowhere I need to go.",Tôi không cần đi đến nơi nào cả.
"I once ate fruit.",Tôi đã từng ăn trái cây.
"Several children can climb.",Một số đứa trẻ có thể leo trèo.
"Some parents don't know me.",Một số phụ huynh không biết tôi.
"Somebody help, please!",Có ai giúp tôi với!
"Something is in the water.",Có thứ gì đó ở trong nước.
"I am somewhere in the forest.",Tôi đang ở nơi nào đó trong khu rừng.
"What is your name?",Tên bạn là gì?
"We can make whatever he wants.",Chúng tôi có thể làm ra mọi thứ anh ấy muốn.
"Which of you is a parent?",Ai trong số anh chị là phụ huynh?
"Visit whichever forest is west of here.",Đến thăm khu rừng nào nằm ở phía tây từ đây.
"If the fruit is big and low to the ground, you can eat it.","Nếu trái cây to và thấp với mặt đất, bạn có thể ăn nó."
"Just move over here and then you can hear the children.",Hãy tới đây và bạn có thể nghe thấy lũ trẻ.
"One hour ago, your sibling dug up that fruit.","Một tiếng trước, anh chị em của bạn đã đào trái cây đó lên."
"I always call my friend at the last hour of the day.",Tôi luôn gọi cho bạn của tôi vào giờ cuối cùng trong ngày.
"When do you think you will get home this time?",Bạn nghĩ rằng lần này bạn sẽ về nhà khi nào?
"Who wants to wander around at night when it's so dark?",Ai muốn lang thang vào ban đêm khi trời tối cơ chứ?
"Soon I will be the last child of my family who is at home.",Tôi sẽ sớm trở thành người con cuối cùng trong gia đình ở nhà.
"It is the middle of the day, so you should stay behind.",Đang là giữa ngày vậy bạn nên ở lại đằng sau.
"I would give her it, but she might not think it is a good rock.",Tôi sẽ đưa nó cho cô ấy nhưng có thể cô ấy không nghĩ rằng nó là một hòn đá tốt.
"She was so far away that we had to call for her three times.",Cô ấy ở quá xa đến nỗi chúng tôi đã phải gọi cô ấy ba lần.
"Why did you look behind you like that?",Vì sao bạn nhìn về sau như vậy?
"She has such wild energy that it is hard to calm her down.",Cô ấy quá phấn khích nên rất khó để trấn tĩnh cô ấy.
"Does the color look blue to you, or is it actually white?","Bạn có thấy nó màu xanh không, hay nó thực sự màu trắng?"
